time,team_away,team_home,play_text,team_in_poss,poss_id,score_away,score_home,lineup_away,lineup_home,2pt_made_away,2pt_attempt_away,2pt_made_home,2pt_attempt_home,3pt_made_away,3pt_attempt_away,3pt_made_home,3pt_attempt_home,ft_made_away,ft_attempt_away,ft_made_home,ft_attempt_home,d_reb_away,o_reb_away,d_reb_home,o_reb_home,assist_away,assist_home,turnover_away,turnover_home
16:39:00,Maine,Virginia Tech,"ata turgut, turnover 3sec   ",Maine,17,2,8,"['adefolalrin adetogun', 'lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut', ""ja'shonte wright-mcleish""]","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
16:39:00,Maine,Virginia Tech,"adefolalrin adetogun, substitution out   ",NULL,17,2,8,"['lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut', ""ja'shonte wright-mcleish""]","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16:21:00,Maine,Virginia Tech,"hunter cattoor, assist    ",Virginia Tech,18,2,10,"['lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut', ""ja'shonte wright-mcleish""]","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
16:21:00,Maine,Virginia Tech,"justyn mutts, 2pt turnaroundjumpshot fromturnover;pointsinthepaint;  made",Virginia Tech,18,2,10,"['lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut', ""ja'shonte wright-mcleish""]","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15:58:00,Maine,Virginia Tech,"vukasin masic, turnover lostball   ",Maine,19,2,10,"['lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut', ""ja'shonte wright-mcleish""]","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
15:58:00,Maine,Virginia Tech,"storm murphy, steal    ",Maine,19,2,10,"['lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut', ""ja'shonte wright-mcleish""]","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15:55:00,Maine,Virginia Tech,"justyn mutts, 2pt dunk fromturnover;pointsinthepaint;fastbreak;  made",Virginia Tech,20,2,12,"['lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut', ""ja'shonte wright-mcleish""]","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15:55:00,Maine,Virginia Tech,"nahiem alleyne, assist    ",Virginia Tech,20,2,12,"['lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut', ""ja'shonte wright-mcleish""]","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
15:53:00,Maine,Virginia Tech,"kristians feierbergs, substitution in   ",NULL,20,2,12,"['lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut', ""ja'shonte wright-mcleish"", 'kristians feierbergs']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15:53:00,Maine,Virginia Tech,"ata turgut, substitution out   ",NULL,20,2,12,"['lechaun duhart', 'stephane ingo', 'vukasin masic', ""ja'shonte wright-mcleish"", 'kristians feierbergs']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
