year,player_id,name_full,name_last,name_first,name_mneumonic,class,position,jersey_number,team_id
2021,2620425,"abner, ethan riggs",abner,ethan riggs,ethan riggs abner,Fr,G,5,691
2021,2620428,"bartholomew, tajik",bartholomew,tajik,tajik bartholomew,So,G,3,691
2021,2620438,"konieczny, j.r.",konieczny,j.r.,j.r. konieczny,Fr,G,1,513
2021,2620468,"armbrester, robbie",armbrester,robbie,robbie armbrester,Fr,G,2,288
2021,2620472,"francis, ja'vier",francis,ja'vier,ja'vier francis,Fr,F,5,288
2021,2620476,"walker jr., ramon",walker jr.,ramon,ramon walker jr.,Fr,G,3,288
2021,2620533,"white, taveion",white,taveion,taveion white,Jr,F,13,62
2021,2620534,"hutchison, brett",hutchison,brett,brett hutchison,Fr,G,30,62
2021,2620537,"zimonjic, bogdan",zimonjic,bogdan,bogdan zimonjic,Fr,G,5,229
2021,2620540,"jackson, ja'sean",jackson,ja'sean,ja'sean jackson,Fr,G,2,2
2021,2620541,"wesley, blake",wesley,blake,blake wesley,Fr,G,0,513
2021,2620542,"weatherspoon, brandon",weatherspoon,brandon,brandon weatherspoon,So,G,23,229
2021,2620543,"smith, stevie",smith,stevie,stevie smith,Jr,G,13,2
2021,2620545,"cadeaux de dieu, furaha",cadeaux de dieu,furaha,furaha cadeaux de dieu,Jr,F,15,2
2021,2620546,"gai, yuot",gai,yuot,yuot gai,Jr,F,34,2
2021,2620547,"wade, alex",wade,alex,alex wade,Fr,G,4,513
2021,2620548,"keels, trevor",keels,trevor,trevor keels,Fr,G,1,193
2021,2620549,"blakes, jaylen",blakes,jaylen,jaylen blakes,Fr,G,2,193
2021,2620550,"banchero, paolo",banchero,paolo,paolo banchero,Fr,F,5,193
2021,2620552,"griffin, aj",griffin,aj,aj griffin,Fr,F,21,193
2021,2620553,"hubbard, spencer",hubbard,spencer,spencer hubbard,So,C,55,193
2021,2620562,"panopio, dalph",panopio,dalph,dalph panopio,Fr,G,13,94
2021,2620563,"higgins, kaleb",higgins,kaleb,kaleb higgins,So,G,14,94
2021,2620581,"brown iii, rob",brown iii,rob,rob brown iii,Fr,G,2,482
2021,2620583,"washington, brian",washington,brian,brian washington,So,F,15,94
2021,2620588,"reynolds, ivan",reynolds,ivan,ivan reynolds,Fr,G,23,94
2021,2620592,"thomasson, noah",thomasson,noah,noah thomasson,Jr,G,21,482
2021,2620596,"thomas, jamarii",thomas,jamarii,jamarii thomas,Fr,G,0,460
2021,2620598,"white, trazarien",white,trazarien,trazarien white,Fr,F,13,460
2021,2620600,"mcgriff, khamari",mcgriff,khamari,khamari mcgriff,Fr,F,21,460
2021,2620601,"surigao, makoa",surigao,makoa,makoa surigao,Fr,G,24,460
2021,2620665,"wilson, shemar",wilson,shemar,shemar wilson,Fr,F,22,702
2021,2620667,"young jr., montez",young jr.,montez,montez young jr.,Fr,F,24,702
2021,2620672,"smith, jabari",smith,jabari,jabari smith,Fr,F,10,37
2021,2620675,"sisley, blake",sisley,blake,blake sisley,Fr,F,2,219
2021,2620677,"beauchamp, blaise",beauchamp,blaise,blaise beauchamp,So,G,13,219
2021,2620678,"tichenor, grant",tichenor,grant,grant tichenor,Fr,G,15,219
2021,2620680,"phillips, preston",phillips,preston,preston phillips,Fr,F,24,219
2021,2620681,"smith jr., antoine",smith jr.,antoine,antoine smith jr.,Jr,F,34,219
2021,2620686,"roberts, terry",roberts,terry,terry roberts,Jr,G,0,72
2021,2620687,"ekono, max",ekono,max,max ekono,Fr,G,2,72
2021,2620688,"montgomery, zek",montgomery,zek,zek montgomery,Fr,G,3,72
2021,2620689,"hickman, connor",hickman,connor,connor hickman,Fr,G,10,72
2021,2620691,"leons, malevy",leons,malevy,malevy leons,Jr,F,14,72
2021,2620724,"gaston-chapman, sterling",gaston-chapman,sterling,sterling gaston-chapman,Fr,G,3,719
2021,2620725,"elkamil, gavyn",elkamil,gavyn,gavyn elkamil,Fr,G,4,719
2021,2620726,"dalger, tim",dalger,tim,tim dalger,So,F,10,719
2021,2620727,"konstantynovskyi, nikita",konstantynovskyi,nikita,nikita konstantynovskyi,So,C,12,719
2021,2620728,"pritchard, anthony",pritchard,anthony,anthony pritchard,Fr,G,14,719
2021,2620878,"tennyson, trevian",tennyson,trevian,trevian tennyson,Jr,G,0,26172
2021,2620886,"roberts, jordan",roberts,jordan,jordan roberts,Fr,G,5,26172
2021,2620887,"mushila, isaac",mushila,isaac,isaac mushila,Jr,F,10,26172
2021,2620889,"murdix, terrion",murdix,terrion,terrion murdix,Jr,G,11,26172
2021,2620891,"ray, donovan",ray,donovan,donovan ray,Jr,G,14,26172
2021,2620892,"faramade, stephen",faramade,stephen,stephen faramade,Sr,C,32,26172
2021,2620899,"nickelson, tyrese",nickelson,tyrese,tyrese nickelson,Jr,G,3,26172
2021,2620900,"jackson, jalen",jackson,jalen,jalen jackson,Jr,G,4,26172
2021,2620923,"etchison, gus",etchison,gus,gus etchison,Fr,G,21,774
2021,2620924,"fuller, shemani",fuller,shemani,shemani fuller,Fr,F,23,774
2021,2620926,"lobsinger, owen",lobsinger,owen,owen lobsinger,Fr,F,20,774
2021,2620927,"stefanski, jack",stefanski,jack,jack stefanski,Fr,F,33,774
2021,2620928,"kimble, cameron",kimble,cameron,cameron kimble,Fr,G,14,774
2021,2620959,"patrick, dj",patrick,dj,dj patrick,So,F,3,651
2021,2620965,"moss, trey",moss,trey,trey moss,Fr,G,11,651
2021,2620970,"evans iv, lamont",evans iv,lamont,lamont evans iv,Fr,G,33,651
2021,2620973,"billups, jared",billups,jared,jared billups,Fr,G,1,639
2021,2620978,"mccollum, javian",mccollum,javian,javian mccollum,Fr,G,2,639
2021,2620988,"gray, mike",gray,mike,mike gray,Fr,G,11,248
2021,2620990,"jones, blake",jones,blake,blake jones,Fr,F,24,248
2021,2620993,"mitchell jr., mike",mitchell jr.,mike,mike mitchell jr.,Fr,G,1,541
2021,2620995,"basham, carson",basham,carson,carson basham,Fr,C,11,541
2021,2620996,"gadsden, tj",gadsden,tj,tj gadsden,Fr,G,32,248
2021,2620997,"mallette, houston",mallette,houston,houston mallette,Fr,G,0,541
2021,2621001,"marsh, mike",marsh,mike,mike marsh,So,F,12,316
2021,2621002,"mantis, christopher",mantis,christopher,christopher mantis,Fr,F,2,27
2021,2621003,"harcum, terence",harcum,terence,terence harcum,Fr,G,23,27
2021,2621004,"pridgett, george",pridgett,george,george pridgett,Fr,G,31,316
2021,2621016,"lewis, maxwell",lewis,maxwell,maxwell lewis,Fr,F,24,541
2021,2621017,"gassama, aladji",gassama,aladji,aladji gassama,Fr,F,35,541
2021,2621023,"broady, isaiah",broady,isaiah,isaiah broady,Fr,F,2,316
2021,2621029,"brown, carson",brown,carson,carson brown,Fr,G,14,316
2021,2621030,"moore, michael",moore,michael,michael moore,Fr,G,24,27
2021,2621058,"stewart, kaleb",stewart,kaleb,kaleb stewart,Fr,G,4,366
2021,2621059,"weisberg, charlie",weisberg,charlie,charlie weisberg,Fr,G,21,369
2021,2621081,"williams, terran",williams,terran,terran williams,Fr,G,5,366
2021,2621084,"ponder, ben",ponder,ben,ben ponder,Fr,G,10,366
2021,2621161,"gentry, jaylon",gentry,jaylon,jaylon gentry,Jr,G,0,649
2021,2621162,"mayo, zeke",mayo,zeke,zeke mayo,Fr,G,2,649
2021,2621249,"baldwin, patrick",baldwin,patrick,patrick baldwin,Fr,G,23,797
2021,2621251,"browning ii, markeith",browning ii,markeith,markeith browning ii,Fr,G,5,797
2021,2621256,"ross, kyle",ross,kyle,kyle ross,Fr,F,13,797
2021,2621257,"sinani, jasin",sinani,jasin,jasin sinani,Fr,G,3,797
2021,2621299,"johnson, darius",johnson,darius,darius johnson,Fr,G,0,128
2021,2621302,"edwards, p.j.",edwards,p.j.,p.j. edwards,Fr,G,5,128
2021,2621305,"freeman, tyem",freeman,tyem,tyem freeman,So,G,11,128
2021,2621306,"rhodes, ed'xavior",rhodes,ed'xavior,ed'xavior rhodes,Fr,C,12,128
2021,2621338,"fidler, frankie",fidler,frankie,frankie fidler,Fr,F,23,464
2021,2621340,"lemetti, felix",lemetti,felix,felix lemetti,Jr,G,25,464
2021,2621341,"carper, grayson",carper,grayson,grayson carper,Jr,G,22,97
2021,2621411,"lemke, coleman",lemke,coleman,coleman lemke,Fr,G,10,551
2021,2621412,"svetozarevic, matija",svetozarevic,matija,matija svetozarevic,Fr,G,13,551
2021,2621413,"nduka, chika",nduka,chika,chika nduka,Fr,F,15,551
2021,2621414,"vucinic, vasilije",vucinic,vasilije,vasilije vucinic,Fr,F,23,551
2021,2621453,"bott, cole",bott,cole,cole bott,Fr,F,10,703
2021,2621454,"tyson, jaylon",tyson,jaylon,jaylon tyson,Fr,G,20,703
2021,2621527,"perryman, gavin",perryman,gavin,gavin perryman,Fr,G,31,703
2021,2621555,"hawkins, jordan",hawkins,jordan,jordan hawkins,Fr,G,24,164
2021,2621558,"diggins, rahsool",diggins,rahsool,rahsool diggins,Fr,G,1,164
2021,2621560,"johnson, samson",johnson,samson,samson johnson,Fr,F,35,164
2021,2621936,"long, xzavier",long,xzavier,xzavier long,Fr,G,25,116
2021,2621937,"kulakowski, brandon",kulakowski,brandon,brandon kulakowski,Fr,G,33,116
2021,2622034,"king, jamel",king,jamel,jamel king,Fr,F,4,768
2021,2622035,"okonkwo, james",okonkwo,james,james okonkwo,Fr,F,32,768
2021,2622042,"johnson, kobe",johnson,kobe,kobe johnson,Fr,G,2,768
2021,2622057,"wilson, seth",wilson,seth,seth wilson,Fr,G,45,768
2021,2622146,"brown, kendall",brown,kendall,kendall brown,Fr,F,2,51
2021,2622328,"stefanovic, lazar",stefanovic,lazar,lazar stefanovic,Fr,G,20,732
2021,2622335,"adebayo, leyi",adebayo,leyi,leyi adebayo,So,F,2,554
2021,2622354,"holt, bostyn",holt,bostyn,bostyn holt,Jr,F,3,732
2021,2622364,"allocco, matt",allocco,matt,matt allocco,So,G,4,554
2021,2622366,"martini, zach",martini,zach,zach martini,So,F,54,554
2021,2622367,"lewis, austin",lewis,austin,austin lewis,Fr,F,22,285
2021,2622368,"luc, kyrell",luc,kyrell,kyrell luc,Fr,G,4,285
2021,2622369,"gakwasi, darius",gakwasi,darius,darius gakwasi,Fr,G,0,554
2021,2622371,"oron, tomer",oron,tomer,tomer oron,Fr,G,20,285
2021,2622373,"peters, blake",peters,blake,blake peters,Fr,G,24,554
2021,2622374,"hooks, mason",hooks,mason,mason hooks,Fr,F,44,554
2021,2622375,"jones, kam",jones,kam,kam jones,Fr,G,1,387
2021,2622376,"kenney, caleb",kenney,caleb,caleb kenney,Fr,F,35,285
2021,2622380,"byriel, philip",byriel,philip,philip byriel,Fr,F,43,554
2021,2622382,"mitchell, stevie",mitchell,stevie,stevie mitchell,Fr,G,4,387
2021,2622403,"ellis, emarion",ellis,emarion,emarion ellis,Fr,G,2,387
2021,2622417,"brown, cameron",brown,cameron,cameron brown,Fr,G,21,387
2021,2622419,"joplin, david",joplin,david,david joplin,Fr,F,23,387
2021,2622429,"diedhiou, ad",diedhiou,ad,ad diedhiou,So,F,22,9
2021,2622430,"tate, elijah",tate,elijah,elijah tate,Fr,G,24,9
2021,2622439,"carter, cam",carter,cam,cam carter,Fr,G,5,430
2021,2622440,"applewhite, alden",applewhite,alden,alden applewhite,Fr,F,44,430
2021,2622444,"brumfield, tyler",brumfield,tyler,tyler brumfield,Fr,G,24,430
2021,2622463,"harris, trey",harris,trey,trey harris,So,G,15,327
2021,2622465,"landers, logan",landers,logan,logan landers,Fr,F,33,327
2021,2622488,"ireland, byron",ireland,byron,byron ireland,Fr,G,0,380
2021,2622489,"ihekwoaba, sam",ihekwoaba,sam,sam ihekwoaba,Fr,G,3,380
2021,2622490,"klanjscek, maks",klanjscek,maks,maks klanjscek,Jr,G,20,380
2021,2622532,"feierbergs, kristians",feierbergs,kristians,kristians feierbergs,Fr,F,11,380
2021,2622533,"nenadic, milos",nenadic,milos,milos nenadic,Fr,F,12,380
2021,2622535,"perovic, novak",perovic,novak,novak perovic,Fr,F,31,380
2021,2622537,"filipovity, peter",filipovity,peter,peter filipovity,So,F,44,380
2021,2622588,"holt, jusaun",holt,jusaun,jusaun holt,Fr,G,1,8
2021,2622589,"davison, jd",davison,jd,jd davison,Fr,G,3,8
2021,2622590,"bediako, charles",bediako,charles,charles bediako,Fr,C,10,8
2021,2622627,"thomas, sebastian",thomas,sebastian,sebastian thomas,Fr,G,0,572
2021,2622628,"samb, abdou",samb,abdou,abdou samb,Fr,F,1,572
2021,2622634,"ricks, jalen",ricks,jalen,jalen ricks,Fr,G,10,782
2021,2622635,"pohto, kenny",pohto,kenny,kenny pohto,Fr,F,11,782
2021,2622736,"gaston-chapman, steele",gaston-chapman,steele,steele gaston-chapman,Fr,G,12,782
2021,2622804,"ngopot, jerry",ngopot,jerry,jerry ngopot,Fr,F,4,617
2021,2622805,"rupert, clarence",rupert,clarence,clarence rupert,Fr,F,12,617
2021,2622806,"sow, mouhamed",sow,mouhamed,mouhamed sow,Fr,F,35,617
2021,2622831,"reid, latrell",reid,latrell,latrell reid,Jr,G,0,617
2021,2622832,"bland, brent",bland,brent,brent bland,Fr,G,1,617
2021,2622948,"brownell, jaden",brownell,jaden,jaden brownell,Fr,F,33,302
2021,2622952,"brown, kyree",brown,kyree,kyree brown,So,G,13,1356
2021,2622953,"carter, jace",carter,jace,jace carter,Fr,G,0,302
2021,2622954,"skobalj, filip",skobalj,filip,filip skobalj,Fr,F,50,302
2021,2622968,"larvadain, gage",larvadain,gage,gage larvadain,Fr,G,5,655
2021,2623036,"hinton, jalyn",hinton,jalyn,jalyn hinton,Jr,F,0,655
2021,2623037,"wilson, avery",wilson,avery,avery wilson,Jr,G,1,655
2021,2623038,"eastmond, roscoe",eastmond,roscoe,roscoe eastmond,So,G,2,655
2021,2623039,"mcfarlane, roger",mcfarlane,roger,roger mcfarlane,Fr,G,3,655
2021,2623041,"gordon, antonio",gordon,antonio,antonio gordon,Sr,F,13,655
2021,2623043,"bates, emoni",bates,emoni,emoni bates,Fr,F,1,404
2021,2623044,"duren, jalen",duren,jalen,jalen duren,Fr,C,2,404
2021,2623053,"camden, john",camden,john,john camden,Fr,F,15,404
2021,2623054,"minott, josh",minott,josh,josh minott,Fr,F,20,404
2021,2623057,"carter, devin",carter,devin,devin carter,Fr,G,4,17
2021,2623058,"lawson, johnathan",lawson,johnathan,johnathan lawson,Fr,G,5,404
2021,2623061,"chimezie, malcolm",chimezie,malcolm,malcolm chimezie,Fr,F,3,68
